,Unnamed: 0,name,trailers,date
0,0,A Maldição do Espelho,unknown,20200407
1,1,Aprendiz de Espiã,unknown,20200407
2,2,Bloodshot,unknown,20200407
3,3,O Oficial e o Espião,unknown,20200407
4,4,Solteira Quase Surtando,unknown,20200407
5,5,Terremoto,unknown,20200407
6,6,Dois Irmãos - Uma Jornada Fantástica,unknown,20200407
7,7,O Melhor Está Por Vir,unknown,20200407
8,8,Seberg Contra Todos,unknown,20200407
9,9,Vou Nadar Até Você,unknown,20200407
10,10,A Hora da Sua Morte,unknown,20200407
11,11,O Homem Invisível,unknown,20200407
